Solicitud_id,Aprobado,Hit_Buro_Huella,Malo,Num_IQ_U3M_PL_Financieras,Edad_cliente,Porcentaje_cuentas_abiertas,Num_IQ_U3M,Num_IQ_U3M_TDC_Banco,MaxMOP_U3M,Saldo_actual_prest_personales,Num_IQ_U3M_Prest_personales,Ingreso_Bruto,Número_ctas_atraso_prest_personales_U3M,Número_ctas_atraso_TdC_U3M,Ctas_ab_U18M_TDC_Banco,Num_ctas_prest_pers,Flag_prest_nómina,Meses_cta_más_antig,Flag_fraude_prest_nomina,Flag_fraude_hipotecario,Flag_quebranto_prest_personal,Entidad_federativa,Tipo_suscripcion,Status,Antigüedad_uso_linea_celular,Gasto_mensual_telefonia,Actividad_usuario,Cambio_SIM_U3M,Variable_37,Gasto_ultimos_60_días,Score_FPD,Rango_dispositivo,Adopcion_tecno,Score_incumplimiento,Tasa_contactacion,Calidad_telefonica,Score_contabilidad_entrante,Score_contabilidad_saliente,Disciplina_tech,Cluster_sucursales
5850306,1,1,0,-1,75,-1,-1,-1,-1,-1,-1,4817.43,-1,-1,-1,-1,-1,-1,-1,-1,-1,YUC,PREPAGO,1,69,6,5,0,20,6,543,-1,-1,627,617,777,3,2,68,1
5850363,1,11,0,-2,66,0.140625,3,1,9,162372,1,3552.99,3,0,-2,55,-2,2,-2,-2,0,DGO,PREPAGO,1,50,5,6,0,22,5,348,5,4,567,577,751,2,2,79,1
5850382,1,11,0,1,61,0.172413793,5,-2,9,314937,2,9263,0,1,0,27,-2,1,0,0,0,GTO,PREPAGO,1,56,7,5,0,17,7,454,-1,-1,613,606,772,3,2,44,1
5850534,1,11,0,-2,62,0.375,1,-2,9,22963,1,16255.8,0,0,0,6,-2,3,0,-2,-2,TAB,PREPAGO,1,67,7,5,0,20,7,526,-1,-1,567,605,733,3,3,58,3
5850629,1,11,0,-2,75,0.214285714,1,-2,1,79010,1,5480.95,0,-2,-2,11,-2,7,-2,-2,0,YUC,PREPAGO,1,65,-1,2,0,20,-1,417,-1,-1,586,532,722,1,0,-2,1
5850724,1,11,0,-2,65,1,1,-2,9,-2,1,34444.36,-2,-2,-2,-2,-2,241,-2,0,-2,CHI,MIXTO,1,72,-1,6,0,20,7,503,-1,-1,598,643,786,3,3,-2,3
5850838,1,10,0,1,60,0.117647059,8,-2,1,7171,2,4085.56,0,-2,-2,4,-2,3,-2,0,0,GTO,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
5851085,1,11,1,3,59,0.461538462,24,-2,9,129292,4,20989.76,2,-2,-2,9,-2,2,-2,0,0,VER,PREPAGO,1,61,7,5,0,20,7,450,-1,-1,591,632,787,4,3,38,3
5851237,1,10,0,-2,65,0.08,1,-2,9,84164,1,3248.73,1,0,-2,22,-2,2,0,-2,0,TAM,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5851351,1,1,0,-1,63,-1,-1,-1,-1,-1,-1,7078.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,COA,PREPAGO,1,7,4,4,0,23,4,360,-1,-1,565,569,679,3,2,29,1
5851522,1,10,0,-2,61,1,11,-2,9,21686,1,4419.48,0,0,-2,2,-2,1,-2,-2,-2,CDMX,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
